latitude,longitude,name,desc,color,source,precision
38.252732,-85.767881,"1000 FISK CT                                          , LOUISVILLE","1000 Fisk Court, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.092073,-85.664511,"5400 MOUNT WASHINGTON RD                              , LOUISVILLE","5400 Mount Washington Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"LAPORTE PARK                                                , LOUISVILLE",US,,MapQuest Open,country
38.195746,-85.709542,"1600 LINCOLN AVE                                      , LOUISVILLE","1600 Lincoln Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.193753,-85.717066,"1400 TAYLOR AVE                                       , LOUISVILLE","1400 Taylor Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"S 15TH ST / W BROADWAY                                      , LOUISVILLE",US,,MapQuest Open,country
38.238674,-85.758742,"300 W KENTUCKY ST                                     , LOUISVILLE","300 West Kentucky Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"S 17TH ST / MAGAZINE ST                                     , LOUISVILLE",US,,MapQuest Open,country
38.253202,-85.702993,"2300 FRANKFORT AVE                                    , LOUISVILLE","2300 Frankfort Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.228754,-85.793066,"2100 W HILL ST                                        , LOUISVILLE","2100 West Hill Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.29472,-85.540204,"3000 CHAMBERLAIN LN                                   , LOUISVILLE","Chamberlain Lane, Louisville, Jefferson County, KY, US",,MapQuest Open,street
38.185207,-85.769152,"500 W ASHLAND AVE                                     , LOUISVILLE","500 West Ashland Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.258071,-85.704409,"2200 BROWNSBORO RD                                    , LOUISVILLE","2200 Brownsboro Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.246598,-85.731791,"600 BARRET AVE                                        , LOUISVILLE","600 Barret Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.191421,-85.792536,"3700 PARTHENIA AVE                                    , LOUISVILLE","3700 Parthenia Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.282724,-85.514935,"8500 LA GRANGE RD                                     , LOUISVILLE","La Grange Road, Louisville, Jefferson County, KY, US",,MapQuest Open,street
